,Year,District,Crimes,Population,C/P,Median Income,M/P,Nationality Count,N/P
49,2013,Kreis 10,3414,36120.0,-0.3654738984063625,60.58,-0.4286715230660513,223,-0.6015680524709002
50,2013,Kreis 11,6279,65596.0,-0.3636020815327757,49.47,-0.6794664773076639,381,-0.6365894034695792
51,2013,Kreis 12,1993,28111.0,-0.40219542458498675,39.05,-0.5069507817934663,322,-0.0956974384999826
52,2013,Kreis 2,3339,29400.0,-0.3358533018660192,59.17,-0.33761065580310645,299,-0.21874913791548442
53,2013,Kreis 3,5272,46386.0,-0.33572340708439236,50.95,-0.585936554468093,331,-0.509421361721246
54,2013,Kreis 4,11833,26286.0,0.18742275764914126,42.13,-0.44888313411420794,302,-0.09240064767329063
55,2013,Kreis 5,5348,12536.0,0.15080777504699028,55.33,0.31479443541078184,182,0.19778184601638252
56,2013,Kreis 6,2554,30263.0,-0.3812141923953571,64.85,-0.3021827303771146,225,-0.48077389254650504
57,2013,Kreis 7,2311,34581.0,-0.4085210687469307,80.65,-0.250749314794108,368,-0.17357058088524702
58,2013,Kreis 8,2757,14767.0,-0.22216535958028072,76.13,0.5162863194037094,261,0.5001471438558646
59,2013,Kreis 9,5608,48950.0,-0.33430729292086225,48.87,-0.6131288990583201,238,-0.727229034486227
60,2014,Kreis 1,12244,5051.0,3.2561225892975276,74.6,3.128020661974835,215,2.8846241061707816
61,2014,Kreis 10,2546,36176.0,-0.403002840276673,61.43,-0.42299371550578446,229,-0.586595310673388
62,2014,Kreis 11,5966,66866.0,-0.37370573854780564,50.47,-0.679294703387384,380,-0.6485900309479697
63,2014,Kreis 12,1974,28247.0,-0.40377179698348353,39.7,-0.5025163347785901,318,-0.11454600464672439
64,2014,Kreis 2,3006,29772.0,-0.35544796994864564,61.52,-0.32299834266599425,296,-0.24057526224525586
65,2014,Kreis 3,4440,46738.0,-0.3647286494507833,51.77,-0.5834369615655602,329,-0.5186688717514764
66,2014,Kreis 4,10351,26689.0,0.09052908285584324,42.92,-0.4474848206766707,314,-0.06594752549711679
67,2014,Kreis 5,3990,13000.0,-0.03526314649782555,58.03,0.3284180460116201,187,0.18498620567018073
68,2014,Kreis 6,2365,30638.0,-0.39241026186185085,66.97,-0.29053957363228794,223,-0.49574468620742634
