"Ausgangsjahr","Gemeinde_BFS_Nr","Gemeindename","Stadtkreis_BFS_Nr","Stadtkreis_Name","Gesetz_Nummer","Gesetz_Abk","Reihenfolge_Haupttitel","Haupttitel","Straftaten_total","Straftaten_vollendet","Straftaten_versucht","Einwohner","Häufigkeitszahl"
2009,293,Wädenswil,,,311.0,StGB,2,Total gegen das Vermögen,734,684,50,22754,32.3
2009,293,Wädenswil,,,311.0,StGB,3,Total gegen die Freiheit,141,141,0,22754,6.2
2009,293,Wädenswil,,,311.0,StGB,4,Total gegen sexuelle Integrität,18,18,0,22754,0.8
2009,293,Wädenswil,,,311.0,StGB,5,Total übrige Titel StGB,34,34,0,22754,1.5
2009,293,Wädenswil,,,812.121,BetmG,801,Total Übertretungen,77,,,22754,3.4
2009,293,Wädenswil,,,812.121,BetmG,802,Total leichte Fälle,13,,,22754,0.6
2009,293,Wädenswil,,,812.121,BetmG,803,Total schwere Fälle,1,,,22754,0
2009,293,Wädenswil,,,142.20,AIG,1421,Total rechtswidrige Ein- / Ausreise / Aufenthalt,15,,,22754,0.7
2009,293,Wädenswil,,,142.20,AIG,1422,Total illegale Erwerbstätigkeit oder Beschäftigung,7,,,22754,0.3
2009,293,Wädenswil,,,142.20,AIG,1423,Total Täuschung der Behörden,2,,,22754,0.1
2009,293,Wädenswil,,,142.20,AIG,1424,Total Förderung der rechtswidrigen Ein- / Ausreise / Aufenthalt,4,,,22754,0.2
2009,293,Wädenswil,,,142.20,AIG,1425,Total weitere Widerhandlungen gegen AIG,4,,,22754,0.2
2009,161,Zollikon,,,311.0,StGB,1,Total gegen Leib und Leben,28,24,4,12154,2.3
2009,161,Zollikon,,,311.0,StGB,2,Total gegen das Vermögen,491,429,62,12154,40.4
2009,161,Zollikon,,,311.0,StGB,3,Total gegen die Freiheit,157,155,2,12154,12.9
2009,161,Zollikon,,,311.0,StGB,4,Total gegen sexuelle Integrität,0,0,0,12154,0
2009,161,Zollikon,,,311.0,StGB,5,Total übrige Titel StGB,19,19,0,12154,1.6
2009,161,Zollikon,,,812.121,BetmG,801,Total Übertretungen,17,,,12154,1.4
2009,161,Zollikon,,,812.121,BetmG,802,Total leichte Fälle,8,,,12154,0.7
2009,161,Zollikon,,,812.121,BetmG,803,Total schwere Fälle,3,,,12154,0.2
2009,161,Zollikon,,,142.20,AIG,1421,Total rechtswidrige Ein- / Ausreise / Aufenthalt,2,,,12154,0.2
2009,161,Zollikon,,,142.20,AIG,1422,Total illegale Erwerbstätigkeit oder Beschäftigung,8,,,12154,0.7
2009,161,Zollikon,,,142.20,AIG,1423,Total Täuschung der Behörden,0,,,12154,0
2009,161,Zollikon,,,142.20,AIG,1424,Total Förderung der rechtswidrigen Ein- / Ausreise / Aufenthalt,2,,,12154,0.2
2009,161,Zollikon,,,142.20,AIG,1425,Total weitere Widerhandlungen gegen AIG,2,,,12154,0.2
2009,261,Zürich,2610001,Kreis 1,311.0,StGB,1,Total gegen Leib und Leben,591,585,6,5536,106.8
2009,261,Zürich,2610001,Kreis 1,311.0,StGB,2,Total gegen das Vermögen,7765,7469,296,5536,1402.6
2009,261,Zürich,2610001,Kreis 1,311.0,StGB,3,Total gegen die Freiheit,684,679,5,5536,123.6
2009,261,Zürich,2610001,Kreis 1,311.0,StGB,4,Total gegen sexuelle Integrität,66,66,0,5536,11.9
2009,261,Zürich,2610001,Kreis 1,311.0,StGB,5,Total übrige Titel StGB,554,542,12,5536,100.1
2009,261,Zürich,2610001,Kreis 1,812.121,BetmG,801,Total Übertretungen,2202,,,5536,397.8
2009,261,Zürich,2610001,Kreis 1,812.121,BetmG,802,Total leichte Fälle,515,,,5536,93
2009,261,Zürich,2610001,Kreis 1,812.121,BetmG,803,Total schwere Fälle,30,,,5536,5.4
2009,261,Zürich,2610001,Kreis 1,142.20,AIG,1421,Total rechtswidrige Ein- / Ausreise / Aufenthalt,612,,,5536,110.5
2009,261,Zürich,2610001,Kreis 1,142.20,AIG,1422,Total illegale Erwerbstätigkeit oder Beschäftigung,46,,,5536,8.3
